1 item,
1 topping,
2 items,
2 toppings,
3 items,
3 toppings,
Antipasto,
Baked Ziti,
Baked Ziti w/Chicken,
Baked Ziti w/Meatballs,
Baked Ziti w/Mozarella,
Cheese,
Cheeseburger,
Chicken Parm,
Chicken Parmigiana,
Eggplant Parmigiana,
Fried Chicken,
Garden Salad,
Greek Salad,
Ham + Cheese,
Hamburger,
Italian,
Meatball,
Meatball Parm,
Salad w/Tuna,
Sausage, Peppers & Onions,
Special,
Steak,
Steak + Cheese,
Tuna,
Turkey,
Veggie,
